Belge ID,Birim,Belge Başlığı,Belge İçeriği
130,Hukuk,Sözleşme Değişiklik Bildirimi,satış sözleşmesine 15 Şubat 2024 tarihinde ek maddeler eklenmiştir. Güncellenmiş sözleşme ekte yer almaktadır.
131,Hukuk,İhlal Bildirimi,İnsan Kaynakları departmanında tespit edilen veri güvenliği ihlaliyle ilgili yasal işlemler başlatılmıştır. Süreç takip edilmektedir.
132,Hukuk,Dava Bilgilendirme,Şirketimiz aleyhine açılan tazminat davası ile ilgili ilk duruşma tarihi 20 Şubat olarak belirlenmiştir. Dava detayları ve savunma stratejisi hukuk birimi tarafından hazırlanmaktadır.
133,Hukuk,Dava Sonuç Bildirimi,tazminat davasının sonucu lehte sonuçlanmıştır olarak açıklanmıştır. Dava sürecine ilişkin detaylar raporda yer almaktadır.
134,Hukuk,İhlal Bildirimi,Genel Müdürlük departmanında tespit edilen çevre düzenlemeleri ihlaliyle ilgili yasal işlemler başlatılmıştır. Süreç takip edilmektedir.
135,Hukuk,Uyumluluk Denetimi,Hukuk birimi tarafından şirket içi uyumluluk politikalarının yasal standartlara uygunluğu denetlenmiştir. Tespit edilen eksiklikler için bir rapor hazırlanmıştır.
136,Hukuk,Dava Sonuç Bildirimi,hak ihlali davasının sonucu lehte sonuçlanmıştır olarak açıklanmıştır. Dava sürecine ilişkin detaylar raporda yer almaktadır.
137,Hukuk,İhlal Bildirimi,Kalite Yönetimi departmanında tespit edilen iş sağlığı ve güvenliği ihlaliyle ilgili yasal işlemler başlatılmıştır. Süreç takip edilmektedir.
138,Hukuk,Sözleşme Onayı,"hizmet sözleşmesi, Sevgi Korkmaz tarafından incelenmiş ve onaylanmıştır. Ek sözleşme maddeleri için karşı tarafın onayı beklenmektedir."
139,Hukuk,Yasal Uyarı,Şirketimize gelen şirket politikaları şikayeti doğrultusunda yasal uyarı yapılmıştır. Detaylar hukuk departmanında değerlendirilmektedir.
140,Hukuk,Dava Sonuç Bildirimi,patent ihlali davasının sonucu aleyhte sonuçlanmıştır olarak açıklanmıştır. Dava sürecine ilişkin detaylar raporda yer almaktadır.
141,Hukuk,Uyumluluk Denetimi,Hukuk birimi tarafından şirket içi uyumluluk politikalarının yasal standartlara uygunluğu denetlenmiştir. Tespit edilen eksiklikler için bir rapor hazırlanmıştır.
142,Hukuk,Yasal Uyarı,Şirketimize gelen ağ sorunları şikayeti doğrultusunda yasal uyarı yapılmıştır. Detaylar hukuk departmanında değerlendirilmektedir.
143,Hukuk,Uyumluluk Denetimi,Hukuk birimi tarafından şirket içi uyumluluk politikalarının yasal standartlara uygunluğu denetlenmiştir. Tespit edilen eksiklikler için bir rapor hazırlanmıştır.
144,Hukuk,Dava Bilgilendirme,Şirketimiz aleyhine açılan tazminat davası ile ilgili ilk duruşma tarihi 15 Ocak olarak belirlenmiştir. Dava detayları ve savunma stratejisi hukuk birimi tarafından hazırlanmaktadır.
145,Hukuk,Sözleşme Değişiklik Bildirimi,tedarik sözleşmesine 15 Nisan 2024 tarihinde ek maddeler eklenmiştir. Güncellenmiş sözleşme ekte yer almaktadır.
146,Hukuk,Uyumluluk Denetimi,Hukuk birimi tarafından şirket içi uyumluluk politikalarının yasal standartlara uygunluğu denetlenmiştir. Tespit edilen eksiklikler için bir rapor hazırlanmıştır.
147,Hukuk,Hukuki Görüş Raporu,rekabet yasağı konusuyla ilgili hukuki görüş hazırlanmıştır. Detaylı rapor ekte yer almaktadır.
148,Hukuk,İhlal Bildirimi,İnsan Kaynakları departmanında tespit edilen iş sağlığı ve güvenliği ihlaliyle ilgili yasal işlemler başlatılmıştır. Süreç takip edilmektedir.
149,Hukuk,Uyumluluk Denetimi,Hukuk birimi tarafından şirket içi uyumluluk politikalarının yasal standartlara uygunluğu denetlenmiştir. Tespit edilen eksiklikler için bir rapor hazırlanmıştır.
150,Hukuk,Dava Bilgilendirme,Şirketimiz aleyhine açılan ticari davası ile ilgili ilk duruşma tarihi 1 Haziran olarak belirlenmiştir. Dava detayları ve savunma stratejisi hukuk birimi tarafından hazırlanmaktadır.
151,Hukuk,Uyumluluk Denetimi,Hukuk birimi tarafından şirket içi uyumluluk politikalarının yasal standartlara uygunluğu denetlenmiştir. Tespit edilen eksiklikler için bir rapor hazırlanmıştır.
152,Hukuk,Sözleşme Değişiklik Bildirimi,ortaklık sözleşmesine 1 Ocak 2024 tarihinde ek maddeler eklenmiştir. Güncellenmiş sözleşme ekte yer almaktadır.
153,Hukuk,Uyumluluk Denetimi,Hukuk birimi tarafından şirket içi uyumluluk politikalarının yasal standartlara uygunluğu denetlenmiştir. Tespit edilen eksiklikler için bir rapor hazırlanmıştır.
154,Hukuk,Hukuki Görüş Raporu,iş sözleşmesi uyuşmazlığı konusuyla ilgili hukuki görüş hazırlanmıştır. Detaylı rapor ekte yer almaktadır.
155,Hukuk,Hukuki Görüş Raporu,iş sözleşmesi uyuşmazlığı konusuyla ilgili hukuki görüş hazırlanmıştır. Detaylı rapor ekte yer almaktadır.
156,Hukuk,Dava Sonuç Bildirimi,hak ihlali davasının sonucu lehte sonuçlanmıştır olarak açıklanmıştır. Dava sürecine ilişkin detaylar raporda yer almaktadır.
157,Hukuk,Sözleşme Değişiklik Bildirimi,tedarik sözleşmesine 1 Temmuz 2024 tarihinde ek maddeler eklenmiştir. Güncellenmiş sözleşme ekte yer almaktadır.
158,Hukuk,Uyumluluk Denetimi,Hukuk birimi tarafından şirket içi uyumluluk politikalarının yasal standartlara uygunluğu denetlenmiştir. Tespit edilen eksiklikler için bir rapor hazırlanmıştır.
159,Hukuk,Uyumluluk Denetimi,Hukuk birimi tarafından şirket içi uyumluluk politikalarının yasal standartlara uygunluğu denetlenmiştir. Tespit edilen eksiklikler için bir rapor hazırlanmıştır.
160,Hukuk,Sözleşme Değişiklik Bildirimi,hizmet sözleşmesine 1 Temmuz 2024 tarihinde ek maddeler eklenmiştir. Güncellenmiş sözleşme ekte yer almaktadır.
161,Teknik Destek,Sistem Performans Raporu,Doküman Yönetim Sistemi sistemi üzerinde yapılan performans testleri tamamlanmıştır. Test sonuçları ve öneriler raporda yer almaktadır.
162,Teknik Destek,Sistem Çökmesi,İnsan Kaynakları departmanında kullanılan Muhasebe Yazılımı yazılımında ani bir çökme yaşanmıştır. Bu durum nedeniyle iş akışı kesintiye uğramış ve çözüm için teknik destek ekibi bilgilendirilmiştir.
163,Teknik Destek,Yazılım Güncellemesi,"Siber Güvenlik Yazılımı yazılımı için kritik bir güncelleme yayınlanmıştır. Güncelleme işlemi, 1 Haziran tarihinde tamamlanacaktır."
164,Teknik Destek,Ağ Güvenlik Bildirimi,yetkisiz erişim tehdidi tespit edilmiştir. Güvenlik önlemleri artırılmış ve tüm sistemler güncellenmiştir.
165,Teknik Destek,Şifre Sıfırlama Talebi,ahmet.yilmaz tarafından şifre sıfırlama talebi iletilmiştir. Yeni şifre oluşturulmuş ve kullanıcının e-posta adresine gönderilmiştir.
166,Teknik Destek,Donanım Sorunu,Kalite Yönetimi çalışanlarının kullandığı proje ekranı cihazlarında yavaş çalışma hatası tespit edilmiştir. Cihazların onarımı için teknik ekip yönlendirilmiştir.
167,Teknik Destek,Acil Durum Müdahale Raporu,sistem kesintisi olayında acil müdahale ekibi tarafından yapılan işlemler ve çözüm süreci raporlanmıştır.
168,Teknik Destek,Sistem Çökmesi,Genel Müdürlük departmanında kullanılan CRM Sistemi yazılımında ani bir çökme yaşanmıştır. Bu durum nedeniyle iş akışı kesintiye uğramış ve çözüm için teknik destek ekibi bilgilendirilmiştir.
169,Teknik Destek,VPN Bağlantı Sorunu,fatma.ozkan tarafından VPN bağlantısı ile ilgili performans düşüklüğü sorunu bildirilmiştir. Sorunun kaynağı belirlenmiş ve çözüm uygulanmıştır.
170,Teknik Destek,Donanım Envanter Raporu,Satın Alma departmanında kullanılan donanımların envanter raporu hazırlanmıştır. Eksik ve arızalı donanımlar belirlenmiştir.
171,Teknik Destek,VPN Bağlantı Sorunu,ayse.demir tarafından VPN bağlantısı ile ilgili güvenlik ihlali sorunu bildirilmiştir. Sorunun kaynağı belirlenmiş ve çözüm uygulanmıştır.
172,Teknik Destek,Antivirüs Taraması Raporu,NB-005 cihazında yapılan antivirüs taraması sonucunda 2 adet tehdit tespit edilmiştir. Temizlik işlemi tamamlanmıştır.
173,Teknik Destek,Destek Talep Raporu,İnsan Kaynakları departmanından gelen ağ sorunu ile ilgili destek talebi alınmıştır. Çözüm süreci başlatılmıştır.
174,Teknik Destek,Sistem Performans Raporu,Doküman Yönetim Sistemi sistemi üzerinde yapılan performans testleri tamamlanmıştır. Test sonuçları ve öneriler raporda yer almaktadır.
175,Teknik Destek,Acil Durum Müdahale Raporu,yetkisiz erişim olayında acil müdahale ekibi tarafından yapılan işlemler ve çözüm süreci raporlanmıştır.
176,Teknik Destek,Destek Talep Raporu,Kalite Yönetimi departmanından gelen ağ sorunu ile ilgili destek talebi alınmıştır. Çözüm süreci başlatılmıştır.
177,Teknik Destek,VPN Bağlantı Sorunu,mehmet.kaya tarafından VPN bağlantısı ile ilgili ağ sorunu sorunu bildirilmiştir. Sorunun kaynağı belirlenmiş ve çözüm uygulanmıştır.
178,Teknik Destek,Bakım Planlaması,yazıcı cihazları için 20 Şubat tarihinde bakım planlanmıştır. Bakım işlemleri sırasında oluşabilecek kesintilere karşı önlemler alınacaktır.
179,Teknik Destek,Sistem Çökmesi,Eğitim ve Gelişim departmanında kullanılan Veritabanı Yönetim Yazılımı yazılımında ani bir çökme yaşanmıştır. Bu durum nedeniyle iş akışı kesintiye uğramış ve çözüm için teknik destek ekibi bilgilendirilmiştir.
180,Teknik Destek,Antivirüs Taraması Raporu,NB-005 cihazında yapılan antivirüs taraması sonucunda 5 adet tehdit tespit edilmiştir. Temizlik işlemi tamamlanmıştır.
181,Teknik Destek,Yedekleme ve Kurtarma Testi,Hibrit Yedekleme sisteminde yedekleme ve veri kurtarma testleri başarıyla tamamlanmıştır. Test sonuçları ve öneriler ekte yer almaktadır.
182,Teknik Destek,Yedekleme ve Kurtarma Testi,Anlık Yedekleme sisteminde yedekleme ve veri kurtarma testleri başarıyla tamamlanmıştır. Test sonuçları ve öneriler ekte yer almaktadır.
183,Teknik Destek,E-posta Gönderim Problemi,ahmet.yilmaz tarafından iletilen e-posta gönderim hatasıyla ilgili teknik inceleme yapılmıştır. Sunucu ayarları güncellenmiş ve sorun giderilmiştir.
184,Teknik Destek,Antivirüs Taraması Raporu,PC-002 cihazında yapılan antivirüs taraması sonucunda 1 adet tehdit tespit edilmiştir. Temizlik işlemi tamamlanmıştır.
185,Teknik Destek,Yazılım Güncellemesi,"E-posta İstemcisi yazılımı için kritik bir güncelleme yayınlanmıştır. Güncelleme işlemi, 1 Haziran tarihinde tamamlanacaktır."
186,Teknik Destek,Bakım Planlaması,tablet cihazları için 15 Ocak tarihinde bakım planlanmıştır. Bakım işlemleri sırasında oluşabilecek kesintilere karşı önlemler alınacaktır.
187,Teknik Destek,Sorun Çözüm Raporu,"donanım arızası sorunu, 4 saat içinde çözülmüştür. Çözüm detayları raporda yer almaktadır."
188,Teknik Destek,Sistem Performans Raporu,İK Yönetim Sistemi sistemi üzerinde yapılan performans testleri tamamlanmıştır. Test sonuçları ve öneriler raporda yer almaktadır.
189,Teknik Destek,Yazılım Güncellemesi,"ERP Sistemi yazılımı için kritik bir güncelleme yayınlanmıştır. Güncelleme işlemi, 15 Temmuz tarihinde tamamlanacaktır."
190,Teknik Destek,Yazılım Güncellemesi,"Muhasebe Yazılımı yazılımı için kritik bir güncelleme yayınlanmıştır. Güncelleme işlemi, 15 Ocak tarihinde tamamlanacaktır."
191,Teknik Destek,Antivirüs Taraması Raporu,NB-005 cihazında yapılan antivirüs taraması sonucunda 3 adet tehdit tespit edilmiştir. Temizlik işlemi tamamlanmıştır.
192,Teknik Destek,Acil Durum Müdahale Raporu,kullanıcı hatası olayında acil müdahale ekibi tarafından yapılan işlemler ve çözüm süreci raporlanmıştır.
193,Teknik Destek,Şifre Sıfırlama Talebi,ayse.demir tarafından şifre sıfırlama talebi iletilmiştir. Yeni şifre oluşturulmuş ve kullanıcının e-posta adresine gönderilmiştir.
194,Teknik Destek,Ağ Performansı,"Şirket genelinde yaşanan ağ yavaşlaması, kötü amaçlı yazılım nedeniyle kaynaklanmaktadır. Teknik ekip çözüm için çalışmalarını sürdürmektedir."
195,Teknik Destek,Destek Talep Raporu,Pazarlama departmanından gelen performans düşüklüğü ile ilgili destek talebi alınmıştır. Çözüm süreci başlatılmıştır.
196,Teknik Destek,Erişim Yetkilendirme Raporu,ali.celik için İK Yönetim Sistemi sistemine erişim yetkisi verilmiştir. Yetkilendirme detayları ve roller raporda belirtilmiştir.
197,Teknik Destek,Yedekleme ve Kurtarma Testi,Fiziksel Yedekleme sisteminde yedekleme ve veri kurtarma testleri başarıyla tamamlanmıştır. Test sonuçları ve öneriler ekte yer almaktadır.
198,Teknik Destek,Sistem Çökmesi,Genel Müdürlük departmanında kullanılan Proje Yönetim Aracı yazılımında ani bir çökme yaşanmıştır. Bu durum nedeniyle iş akışı kesintiye uğramış ve çözüm için teknik destek ekibi bilgilendirilmiştir.
199,Teknik Destek,Bakım Planlaması,yazıcı cihazları için 1 Eylül tarihinde bakım planlanmıştır. Bakım işlemleri sırasında oluşabilecek kesintilere karşı önlemler alınacaktır.
200,Teknik Destek,Sistem Çökmesi,Genel Müdürlük departmanında kullanılan Veritabanı Yönetim Yazılımı yazılımında ani bir çökme yaşanmıştır. Bu durum nedeniyle iş akışı kesintiye uğramış ve çözüm için teknik destek ekibi bilgilendirilmiştir.
201,Pazarlama,Kampanya Planı,Yeni reklam kampanyası için Twitter üzerinde çalışmalara başlanmıştır. Kampanyanın hedef kitlesi kurumsal müşteriler olarak belirlenmiştir.
202,Pazarlama,Reklam Performans Değerlendirmesi,Facebook platformunda yürütülen reklam kampanyası daha yüksek müşteri dönüşüm oranı artış sağlamıştır. Kampanya etkisi detaylı olarak analiz edilmiştir.
203,Pazarlama,Etkinlik ve Sponsorluk Bildirimi,Yıllık Teknoloji Konferansı etkinliğinde GlobalTech markası sponsor olarak yer alacaktır. Etkinlik detayları ve katılım planı raporlanmıştır.
204,Pazarlama,Müşteri Anketi,Müşteri memnuniyet anketine toplam 1000 kişi katılmıştır. Anket sonuçlarına göre müşteri şikayet oranı %10 azalmıştır.
205,Pazarlama,Etkinlik ve Sponsorluk Bildirimi,Yıllık Teknoloji Konferansı etkinliğinde ABC Marka markası sponsor olarak yer alacaktır. Etkinlik detayları ve katılım planı raporlanmıştır.
206,Pazarlama,Reklam Performans Değerlendirmesi,YouTube platformunda yürütülen reklam kampanyası kampanya başarı oranı %90 artış sağlamıştır. Kampanya etkisi detaylı olarak analiz edilmiştir.
207,Pazarlama,Kampanya Planı,Yeni reklam kampanyası için Twitter üzerinde çalışmalara başlanmıştır. Kampanyanın hedef kitlesi kurumsal müşteriler olarak belirlenmiştir.
208,Pazarlama,Reklam Performans Değerlendirmesi,Instagram platformunda yürütülen reklam kampanyası kampanya başarı oranı %90 artış sağlamıştır. Kampanya etkisi detaylı olarak analiz edilmiştir.
209,Pazarlama,Pazar Araştırma Raporu,"uluslararası pazar alanında yapılan pazar araştırması sonuçları ekte sunulmuştur. Rapor, müşteri tercihleri ve rekabet analizi içermektedir."
210,Pazarlama,Kampanya Planı,Yeni reklam kampanyası için YouTube üzerinde çalışmalara başlanmıştır. Kampanyanın hedef kitlesi küçük işletme sahipleri olarak belirlenmiştir.
211,Pazarlama,Kampanya Planı,Yeni reklam kampanyası için Google Ads üzerinde çalışmalara başlanmıştır. Kampanyanın hedef kitlesi genç profesyoneller olarak belirlenmiştir.
212,Pazarlama,Pazar Araştırma Raporu,"perakende alanında yapılan pazar araştırması sonuçları ekte sunulmuştur. Rapor, müşteri tercihleri ve rekabet analizi içermektedir."
213,Pazarlama,Marka İşbirliği Teklifi,ABC Marka markası ile işbirliği teklifine olumlu dönüş alınmıştır. İşbirliği süreci hakkında detaylar ekte yer almaktadır.
214,Pazarlama,Marka İşbirliği Teklifi,ABC Marka markası ile işbirliği teklifine olumlu dönüş alınmıştır. İşbirliği süreci hakkında detaylar ekte yer almaktadır.
215,Pazarlama,Kampanya Planı,Yeni reklam kampanyası için Instagram üzerinde çalışmalara başlanmıştır. Kampanyanın hedef kitlesi kurumsal müşteriler olarak belirlenmiştir.
216,Pazarlama,Kampanya Planı,Yeni reklam kampanyası için Facebook üzerinde çalışmalara başlanmıştır. Kampanyanın hedef kitlesi teknoloji meraklıları olarak belirlenmiştir.
217,Pazarlama,Rakip Analiz Raporu,Global Solutions firmasının son dönemdeki pazarlama faaliyetleri ve stratejileri incelenmiştir. Elde edilen veriler stratejik öneriler ile birlikte raporlanmıştır.
218,Pazarlama,Müşteri Anketi,Müşteri memnuniyet anketine toplam 250 kişi katılmıştır. Anket sonuçlarına göre müşteri şikayet oranı %10 azalmıştır.
219,Pazarlama,Müşteri Anketi,Müşteri memnuniyet anketine toplam 2000 kişi katılmıştır. Anket sonuçlarına göre müşteri şikayet oranı %10 azalmıştır.
220,Pazarlama,Etkinlik ve Sponsorluk Bildirimi,İnovasyon Günleri etkinliğinde EcoBrands markası sponsor olarak yer alacaktır. Etkinlik detayları ve katılım planı raporlanmıştır.
221,Pazarlama,Müşteri Anketi,Müşteri memnuniyet anketine toplam 1500 kişi katılmıştır. Anket sonuçlarına göre müşteri şikayet oranı %10 azalmıştır.
222,Pazarlama,Kampanya Planı,Yeni reklam kampanyası için YouTube üzerinde çalışmalara başlanmıştır. Kampanyanın hedef kitlesi genç profesyoneller olarak belirlenmiştir.
223,Pazarlama,Etkinlik ve Sponsorluk Bildirimi,İnovasyon Günleri etkinliğinde ABC Marka markası sponsor olarak yer alacaktır. Etkinlik detayları ve katılım planı raporlanmıştır.
224,Pazarlama,Marka İşbirliği Teklifi,XYZ İşbirliği markası ile işbirliği teklifine olumlu dönüş alınmıştır. İşbirliği süreci hakkında detaylar ekte yer almaktadır.
225,Pazarlama,Sosyal Medya Performans Raporu,Sosyal medya platformlarında daha yüksek müşteri dönüşüm oranı artış gözlemlenmiştir. Kampanya performansı detaylı olarak analiz edilmiştir.
226,Pazarlama,Rakip Analiz Raporu,Future Tech firmasının son dönemdeki pazarlama faaliyetleri ve stratejileri incelenmiştir. Elde edilen veriler stratejik öneriler ile birlikte raporlanmıştır.
227,Pazarlama,Pazar Araştırma Raporu,"e-ticaret alanında yapılan pazar araştırması sonuçları ekte sunulmuştur. Rapor, müşteri tercihleri ve rekabet analizi içermektedir."
228,Pazarlama,Sosyal Medya Performans Raporu,Sosyal medya platformlarında daha yüksek müşteri dönüşüm oranı artış gözlemlenmiştir. Kampanya performansı detaylı olarak analiz edilmiştir.
229,Pazarlama,Pazar Araştırma Raporu,"toptan satış alanında yapılan pazar araştırması sonuçları ekte sunulmuştur. Rapor, müşteri tercihleri ve rekabet analizi içermektedir."
230,Pazarlama,Pazar Araştırma Raporu,"B2B alanında yapılan pazar araştırması sonuçları ekte sunulmuştur. Rapor, müşteri tercihleri ve rekabet analizi içermektedir."
231,Pazarlama,Pazar Araştırma Raporu,"e-ticaret alanında yapılan pazar araştırması sonuçları ekte sunulmuştur. Rapor, müşteri tercihleri ve rekabet analizi içermektedir."
232,Pazarlama,Müşteri Anketi,Müşteri memnuniyet anketine toplam 250 kişi katılmıştır. Anket sonuçlarına göre müşteri şikayet oranı %10 azalmıştır.
233,Pazarlama,Reklam Performans Değerlendirmesi,YouTube platformunda yürütülen reklam kampanyası %25 tıklama oranı artışı artış sağlamıştır. Kampanya etkisi detaylı olarak analiz edilmiştir.
234,Pazarlama,Reklam Performans Değerlendirmesi,Facebook platformunda yürütülen reklam kampanyası kampanya başarı oranı %90 artış sağlamıştır. Kampanya etkisi detaylı olarak analiz edilmiştir.
235,Pazarlama,Sosyal Medya Performans Raporu,Sosyal medya platformlarında kampanya başarı oranı %90 artış gözlemlenmiştir. Kampanya performansı detaylı olarak analiz edilmiştir.
236,Pazarlama,Müşteri Anketi,Müşteri memnuniyet anketine toplam 500 kişi katılmıştır. Anket sonuçlarına göre müşteri şikayet oranı %10 azalmıştır.
237,Pazarlama,Müşteri Anketi,Müşteri memnuniyet anketine toplam 500 kişi katılmıştır. Anket sonuçlarına göre müşteri şikayet oranı %10 azalmıştır.
238,Pazarlama,Rakip Analiz Raporu,Future Tech firmasının son dönemdeki pazarlama faaliyetleri ve stratejileri incelenmiştir. Elde edilen veriler stratejik öneriler ile birlikte raporlanmıştır.
239,Pazarlama,Reklam Performans Değerlendirmesi,Twitter platformunda yürütülen reklam kampanyası kampanya başarı oranı %90 artış sağlamıştır. Kampanya etkisi detaylı olarak analiz edilmiştir.
240,Pazarlama,Marka İşbirliği Teklifi,NextGen Solutions markası ile işbirliği teklifine olumlu dönüş alınmıştır. İşbirliği süreci hakkında detaylar ekte yer almaktadır.
241,Genel Müdürlük,Risk Yönetimi Raporu,Şirketin pazar alanında potansiyel risk faktörleri değerlendirilmiştir. Alınması gereken önlemler ve aksiyon planları raporlanmıştır.
242,Genel Müdürlük,Stratejik Planlama,Şirketin 5 yıllık stratejik planı tamamlanmıştır.
243,Genel Müdürlük,Kurumsal Performans Raporu,Şirketin dördüncü dönemi performans raporu hazırlanmıştır. Finansal ve operasyonel sonuçlar detaylı olarak raporlanmıştır.
244,Genel Müdürlük,Yönetim Toplantısı Sonuçları,Son yapılan yönetim toplantısının sonuçları paylaşılmıştır.
245,Genel Müdürlük,Risk Yönetimi Raporu,Şirketin teknolojik alanında potansiyel risk faktörleri değerlendirilmiştir. Alınması gereken önlemler ve aksiyon planları raporlanmıştır.
246,Genel Müdürlük,Yatırım Planı Bildirimi,AR-GE Merkezi projesine yönelik yatırım planı hazırlanmıştır. Proje detayları ve bütçe bilgileri ekte yer almaktadır.
247,Genel Müdürlük,Kurumsal Sosyal Sorumluluk Raporu,Eğitime Destek kapsamında gerçekleştirilen sosyal sorumluluk projeleri detaylandırılmıştır. Katılım oranları ve etkileri raporda belirtilmiştir.
248,Genel Müdürlük,Yatırım Planı Bildirimi,Dijital Dönüşüm projesine yönelik yatırım planı hazırlanmıştır. Proje detayları ve bütçe bilgileri ekte yer almaktadır.
249,Genel Müdürlük,Genel Duyuru,Tüm birimlere genel bir bilgilendirme yapılmıştır.
250,Genel Müdürlük,Kurumsal Performans Raporu,Şirketin üçüncü dönemi performans raporu hazırlanmıştır. Finansal ve operasyonel sonuçlar detaylı olarak raporlanmıştır.
251,Genel Müdürlük,Stratejik Planlama,Şirketin 5 yıllık stratejik planı tamamlanmıştır.
252,Genel Müdürlük,Kurumsal Performans Raporu,Şirketin üçüncü dönemi performans raporu hazırlanmıştır. Finansal ve operasyonel sonuçlar detaylı olarak raporlanmıştır.
253,Genel Müdürlük,Risk Yönetimi Raporu,Şirketin pazar alanında potansiyel risk faktörleri değerlendirilmiştir. Alınması gereken önlemler ve aksiyon planları raporlanmıştır.
254,Genel Müdürlük,Kurumsal Yenilik Bildirimi,Şirketin yenilikçi yaklaşımlarını duyuran bir açıklama yapılmıştır.
255,Genel Müdürlük,Risk Yönetimi Raporu,Şirketin teknolojik alanında potansiyel risk faktörleri değerlendirilmiştir. Alınması gereken önlemler ve aksiyon planları raporlanmıştır.
256,Genel Müdürlük,Risk Yönetimi Raporu,Şirketin operasyonel alanında potansiyel risk faktörleri değerlendirilmiştir. Alınması gereken önlemler ve aksiyon planları raporlanmıştır.
257,Genel Müdürlük,Kurumsal Performans Raporu,Şirketin ilk dönemi performans raporu hazırlanmıştır. Finansal ve operasyonel sonuçlar detaylı olarak raporlanmıştır.
258,Genel Müdürlük,Kurumsal Sosyal Sorumluluk Raporu,Engelsiz Yaşam kapsamında gerçekleştirilen sosyal sorumluluk projeleri detaylandırılmıştır. Katılım oranları ve etkileri raporda belirtilmiştir.
259,Genel Müdürlük,Kurumsal Yenilik Bildirimi,Şirketin yenilikçi yaklaşımlarını duyuran bir açıklama yapılmıştır.
260,Genel Müdürlük,Kurumsal Performans Raporu,Şirketin ilk dönemi performans raporu hazırlanmıştır. Finansal ve operasyonel sonuçlar detaylı olarak raporlanmıştır.
261,Genel Müdürlük,Kurumsal Yenilik Bildirimi,Şirketin yenilikçi yaklaşımlarını duyuran bir açıklama yapılmıştır.
262,Genel Müdürlük,Genel Duyuru,Tüm birimlere genel bir bilgilendirme yapılmıştır.
263,Genel Müdürlük,Kurumsal Performans Raporu,Şirketin ilk dönemi performans raporu hazırlanmıştır. Finansal ve operasyonel sonuçlar detaylı olarak raporlanmıştır.
264,Genel Müdürlük,Stratejik Planlama,Şirketin 5 yıllık stratejik planı tamamlanmıştır.
265,Genel Müdürlük,Stratejik Planlama,Şirketin 5 yıllık stratejik planı tamamlanmıştır.
266,Genel Müdürlük,Kurumsal Yenilik Bildirimi,Şirketin yenilikçi yaklaşımlarını duyuran bir açıklama yapılmıştır.
267,Genel Müdürlük,Yatırım Planı Bildirimi,Üretim Hattı Modernizasyonu projesine yönelik yatırım planı hazırlanmıştır. Proje detayları ve bütçe bilgileri ekte yer almaktadır.
268,Genel Müdürlük,Stratejik Planlama,Şirketin 5 yıllık stratejik planı tamamlanmıştır.
269,Genel Müdürlük,Kurumsal Sosyal Sorumluluk Raporu,Eğitime Destek kapsamında gerçekleştirilen sosyal sorumluluk projeleri detaylandırılmıştır. Katılım oranları ve etkileri raporda belirtilmiştir.
270,Genel Müdürlük,Kurumsal Sosyal Sorumluluk Raporu,Sosyal İnovasyon kapsamında gerçekleştirilen sosyal sorumluluk projeleri detaylandırılmıştır. Katılım oranları ve etkileri raporda belirtilmiştir.
271,Genel Müdürlük,Kurumsal Yenilik Bildirimi,Şirketin yenilikçi yaklaşımlarını duyuran bir açıklama yapılmıştır.
272,Genel Müdürlük,Genel Duyuru,Tüm birimlere genel bir bilgilendirme yapılmıştır.
273,Genel Müdürlük,Kurumsal Sosyal Sorumluluk Raporu,Engelsiz Yaşam kapsamında gerçekleştirilen sosyal sorumluluk projeleri detaylandırılmıştır. Katılım oranları ve etkileri raporda belirtilmiştir.
274,Genel Müdürlük,Stratejik Planlama,Şirketin 5 yıllık stratejik planı tamamlanmıştır.
275,Genel Müdürlük,Yönetim Toplantısı Sonuçları,Son yapılan yönetim toplantısının sonuçları paylaşılmıştır.
276,Genel Müdürlük,Risk Yönetimi Raporu,Şirketin teknolojik alanında potansiyel risk faktörleri değerlendirilmiştir. Alınması gereken önlemler ve aksiyon planları raporlanmıştır.
277,Genel Müdürlük,Yatırım Planı Bildirimi,Veri Merkezi projesine yönelik yatırım planı hazırlanmıştır. Proje detayları ve bütçe bilgileri ekte yer almaktadır.
278,Genel Müdürlük,Risk Yönetimi Raporu,Şirketin finansal alanında potansiyel risk faktörleri değerlendirilmiştir. Alınması gereken önlemler ve aksiyon planları raporlanmıştır.
279,Genel Müdürlük,Genel Duyuru,Tüm birimlere genel bir bilgilendirme yapılmıştır.
280,Genel Müdürlük,Risk Yönetimi Raporu,Şirketin finansal alanında potansiyel risk faktörleri değerlendirilmiştir. Alınması gereken önlemler ve aksiyon planları raporlanmıştır.
281,Kalite Yönetimi,Kalite Kontrol Planı,Üretim süreçleri için yeni bir kalite kontrol planı hazırlanmıştır.
282,Kalite Yönetimi,Kalite Kontrol Planı,Üretim süreçleri için yeni bir kalite kontrol planı hazırlanmıştır.
283,Kalite Yönetimi,Hata Analiz Raporu,üretim hatası hatası üzerine yapılan analiz sonuçları açıklanmıştır. Hatanın kaynağı ve çözüm önerileri raporlanmıştır.
284,Kalite Yönetimi,Müşteri Şikayet Analizi,Müşteri şikayetleri detaylı olarak analiz edilmiştir.
